Song,Artist
Moving On,Sarah and the Sundays
Strong,London Grammar
"Hey, Ma - triple j Like A Version",The Vanns
Hotel in Minsk,jonatan leandoer96
After School Sad Session,Nadhif Basalamah
Yer Killin' Me,Remo Drive
Brazil,Declan McKenna
Hands On Ya Knees (feat. Kevin Gates),Renni Rucci
You Are the Woman,Firefall
Little Ladder to Heaven,Chris Lynch
I Love Being Tired,Noah Chenfeld
Lou's Tune,DARGZ
Drunk And Nasty (feat. Sharc),Pi’erre Bourne
Girls In Bikinis,Poppy
>one - greater than one,VALORANT
Orpheus Under the Influence,The Buttertones
Greek Tragedy - Oliver Nelson TikTok Remix,The Wombats
Televised,HUNNY
Faded,Crypto
When I Get Home,Post Animal
It's Real,Real Estate
Falling for U,Peachy!
Horizon,Czarina Frost
Jewelry Store - Jewelry Store,The Capitol Years
As Good As You,Far Too Jones
"The Heat, the Hot, and the Hard Luck Swill",JennyAnyKind
Looked Up To You,Craig Wedren
Looking Too Closely,Fink
Love Lost,Mac Miller
I'm Yours,Jason Mraz
Brave Captain,fIREHOSE
Succotash,Claw Hammer
1979 - Remastered 2012,The Smashing Pumpkins
Basket Case,Green Day
Never Let You Go,Junie Graziano
O.C. Life,Rikk Agnew
La vie en rose,Daniel Colin
Don't Wanna Be Here,Cool For August
True Thang,Bomb Squad
Fusion,Cool Cavemen
La Que Me Gusta,Los Amigos Invisibles
No More Lies,Thundercat
Ribs,Rachel Chinouriri
labour,Paris Paloma
Couldn’t Make It Up,Ben Howard
Blades,Arlo Parks
The Alcott (feat. Taylor Swift),The National
Not Strong Enough,boygenius
Nothing Matters,The Last Dinner Party
Good News,Bakar
Boyhood,The Japanese House
WORTHLESS,d4vd
Mermaids,Florence + The Machine
Silent Running (feat. Adeleye Omotayo),Gorillaz
Just To Keep You Satisfied,Inhaler
Seaforth,King Krule
Widows,Matt Maltese
Give It Up To Love,Somebody's Child
It’s Euphoric,Georgia
Chaise Longue,Wet Leg
To Rage,Daughter
The Score,Grian Chatten
Your Mind Is Not Your Friend (feat. Phoebe Bridgers),The National
To Love,Suki Waterhouse
After Midnight (feat. Clairo),Phoenix
Psychopath,Another Sky
Bones,Deyaz
Over,CHVRCHES
In The Moment,Gengahr
Change,LAUREL
God Above,Billie Marten
Wings Of Time - From the Motion Picture Dungeons & Dragons: Honor Among Thieves,Tame Impala
Call Me What You Like,Lovejoy
Troubled Son,Miles Kane
This World Couldn’t See Us,Nabihah Iqbal
Oh No Darling!,Sarah Kinsley
Honey,Samia
Window,spill tab
Salad,Blondshell
Going Kokomo,Royel Otis
atomic,Aziya
A Song About Me,Oscar Lang
Last Together,Vistas
Don't Let Me Down,Gus Dapperton
Lucky Bean,The Lathums
DONTLEAVEMYSIDE,Ray Laurél
Pick,Fenne Lily
James Dean,Tash Sultana
Bleed,Ezra Williams
can we change the subject?,re6ce
In My Head,Nell Mescal
Forever,DMA'S
I Think My Heart Is Set On You,Lemonade Shoelace
King of Nothing,Gretel Hänlyn
like that,Sfven
Little Sister,Willie J Healey
